RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
0,0,150,17.1,7700,22.6,11.4,9.7,16.5034965034965,12.9090909090909,79.972027972028
0,0,170,19.6,7500,25.1,14.8,12.6,18.7902097902098,13.3986013986014,79.041958041958
5.2,4,155,16.7,8200,21.6,11.9,10.1,13.1818181818182,13,80.7272727272727
0,0,127,14,8000,16.8,11.4,9.8,11.8601398601399,9,80.1888111888112
0,0,130,13.9,8200,17.1,11.6,9.3,10.6713286713287,9,80
0,0,129,15,7600,20,11.3,9,14,11,79.2937062937063
0,0,151,17.3,7700,21.4,13.5,11.6,14.5874125874126,11.3706293706294,78.958041958042
0,4,142,14.6,8500,17.9,11.9,10.2,11.2657342657343,9,78.5874125874126
0,4,164,16.9,8500,19.6,14.4,11.9,11.0559440559441,9,79.2097902097902
0,0,152,18.2,7400,23,14.4,12.9,16,12,78.3916083916084
2.9,4,141,19.7,6100,22.8,16.5,13.2,19,13.993006993007,78.6223776223776
8,4,171,16.3,9300,19.5,14.6,14.3,10.1328671328671,10,83.0909090909091
18.8,4,178,19.5,8000,24.3,16.6,16,21.041958041958,19.1958041958042,86.8671328671329
2.2,4,112,11.8,8000,19,6.7,5,16.5874125874126,16,90.0909090909091
0.3,4,88,7.2,8700,11.2,4.4,2.9,10,9.05594405594406,89.9440559440559
0,0,89,7.4,8700,12.1,3.7,1.9,7.00699300699301,6,89.0769230769231
0,0,88,8.1,8200,12.8,5.2,3.5,8.03496503496504,7,87.9300699300699
11.2,4,87,9,7600,14.3,4.2,2.6,10,10,89.8811188811189
0.9,4,153,14.7,9100,18.7,11.2,11,7.92307692307692,7.55244755244755,93.1608391608392
20.2,4,144,12.9,9700,14.1,11.7,9.5,7.48251748251748,7.05594405594406,101.202797202797
0.1,4,124,13.7,7900,16.8,11.8,9.6,14.986013986014,14.958041958042,101.300699300699
0.5,4,122,12.9,8300,14.9,11.6,10.2,8.97902097902098,8.73426573426574,99.8461538461538
1.8,4,120,11.8,8700,14.7,8.9,6.1,6,6,99.2377622377622
2.4,4,123,11.8,8900,14.2,9.1,6.6,7,7,98.6713286713287
12.7,4,114,9.9,9300,12.1,7.6,5.1,5.02097902097902,5.02097902097902,103.412587412587
0.2,4,113,10.1,9100,13,8.6,6.9,5,5,102.636363636364
13.1,4,121,10.2,9700,11.8,8.9,6.9,6.06993006993007,6.06993006993007,106.181818181818
4,4,120,11.2,9000,15,8.9,7.5,8.26573426573426,8.24475524475525,105.874125874126
1,4,123,13.4,8000,16.6,12,9.4,13.048951048951,13.006993006993,105.895104895105
13.2,4,125,13,8300,15.8,10.9,8.3,7,7,107.412587412587
2.6,4,119,10.9,9100,13.4,9.8,9.4,8.95104895104895,8.94405594405594,107.083916083916
0.4,4,119,12.4,8300,15.9,10.5,7.9,10.5874125874126,10.5454545454545,105.902097902098
2.7,4,97,12.1,6900,15.2,8.3,7.8,14.048951048951,14.013986013986,104
0,0,88,9.6,7300,12.3,7.4,4.6,9.5944055944056,9.35664335664336,101.93006993007
3.9,4,93,9.4,7900,11.4,7.2,4.3,8.27272727272727,8.27272727272727,102.335664335664
5.1,4,109,10,8900,11.6,9.1,7.1,11.8111888111888,11.8111888111888,104.398601398601
0,0,98,10.2,7900,12.9,8.5,6.1,8.3986013986014,8.3006993006993,103.041958041958
0.2,4,95,9.5,8000,12.3,7.8,5.5,7,7,102.097902097902
5.7,4,93,9.5,7900,12.1,7.4,5.7,9,9,102.993006993007
5.9,4,102,9.1,8800,10.9,6.6,5.5,9.95804195804196,9.95104895104895,106.874125874126
10.5,4,91,7.7,8700,10.7,5.5,4.8,6.33566433566434,6.33566433566434,107.58041958042
2.1,4,89,6.4,9300,8.4,4.6,2.3,6.84615384615385,6.84615384615385,108.587412587413
0,0,82,6.4,8600,10.7,4,1.3,3,3,106.461538461538
11.7,4,109,9.3,9100,13.8,4,1.4,9.06993006993007,9.06993006993007,110.454545454545
22.7,4,112,11,8500,12.7,9.2,8.9,10.8741258741259,10.8741258741259,112.524475524476
3.9,4,106,9.5,8900,11.8,7.9,5.4,8.37762237762238,8.34965034965035,111.062937062937
0.2,4,92,7.2,9000,8.4,4.1,2.7,3.76923076923077,3.76923076923077,109.174825174825
0,0,78,4.4,9400,8.1,1.6,-0.8,2,2,107.48951048951
8.1,4,88,5.7,9400,10.3,1.6,-0.3,3,3,109.664335664336
4.6,4,120,11.5,8900,13.4,10.1,9.3,11,11,110.699300699301
0.3,4,108,9.6,9000,12,5.9,3.4,6.97902097902098,6.97902097902098,111.601398601399
