,X2
2020-01-01,27.48
2020-01-02,23.9
2020-01-03,22.49
2020-01-04,27.79
2020-01-05,27.59
2020-01-06,25.88
2020-01-07,25.43
2020-01-08,25.56
2020-01-09,27.84
2020-01-10,31.31
2020-01-11,34.64
2020-01-12,35.01
2020-01-13,34.37
2020-01-14,33.34
2020-01-15,30.11
2020-01-16,25.18
2020-01-17,23.11
2020-01-18,20.71
2020-01-19,20.82
2020-01-20,18.3
2020-01-21,16.6
2020-01-22,16.08
2020-01-23,15.15
2020-01-24,14.89
2020-01-25,13.88
2020-01-26,13.08
2020-01-27,12.77
2020-01-28,18.14
2020-01-29,20.18
2020-01-30,18.64
2020-01-31,19.18
2020-02-01,34.29
2020-02-02,46.07
2020-02-03,45.79
2020-02-04,62.76
2020-02-05,66.08
2020-02-06,55.49
2020-02-07,51.82
2020-02-08,43.66
2020-02-09,38.92
2020-02-10,53.77
2020-02-11,69.14
2020-02-12,64.55
2020-02-13,58.83
2020-02-14,61.71
2020-02-15,56.85
2020-02-16,53.42
2020-02-17,61.99
2020-02-18,58.52
2020-02-19,64.85
2020-02-20,68.59
2020-02-21,76.09
2020-02-22,77.49
2020-02-23,119.71
2020-02-24,177.44
2020-02-25,152.01
2020-02-26,137.85
2020-02-27,125.16
2020-02-28,113.2
2020-02-29,105.04
2020-03-01,109.34
2020-03-02,119.2
2020-03-03,118.02
2020-03-04,109.33
2020-03-05,99.83
2020-03-06,108.87
2020-03-07,98.43
2020-03-08,90.55
2020-03-09,86.3
2020-03-10,85.8
2020-03-11,114.71
2020-03-12,141.91
2020-03-13,128.17
2020-03-14,105.21
2020-03-15,86.87
2020-03-16,73.05
2020-03-17,58.21
2020-03-18,48.54
2020-03-19,40.01
2020-03-20,34.89
2020-03-21,29.63
2020-03-22,26.62
2020-03-23,24.34
2020-03-24,22.18
2020-03-25,19.45
2020-03-26,18.43
2020-03-27,16.57
2020-03-28,13.95
2020-03-29,13.25
2020-03-30,12.91
2020-03-31,11.96
2020-04-01,11.65
2020-04-02,10.77
2020-04-03,10.76
2020-04-04,9.67
2020-04-05,8.61
2020-04-06,8.07
2020-04-07,8.24
2020-04-08,8.81
2020-04-09,8.53
2020-04-10,8.68
2020-04-11,8.67
2020-04-12,8.32
2020-04-13,8.43
2020-04-14,8.69
2020-04-15,8.75
2020-04-16,8.56
2020-04-17,8.61
2020-04-18,8.63
2020-04-19,9.94
2020-04-20,8.59
2020-04-21,8.51
2020-04-22,7.73
2020-04-23,8.48
2020-04-24,9.45
2020-04-25,9
2020-04-26,9.14
2020-04-27,9.15
2020-04-28,9.46
2020-04-29,10.62
2020-04-30,11.45
2020-05-01,12.2
2020-05-02,13.46
2020-05-03,10.95
2020-05-04,7.71
2020-05-05,8.06
2020-05-06,8.41
2020-05-07,8.72
2020-05-08,9.92
2020-05-09,9.61
2020-05-10,9.44
2020-05-11,9.63
2020-05-12,9.3
2020-05-13,9.5
2020-05-14,8.42
2020-05-15,8.52
2020-05-16,8.09
2020-05-17,8.46
2020-05-18,9.05
2020-05-19,8.85
2020-05-20,8.97
2020-05-21,8.13
2020-05-22,8.69
2020-05-23,10.06
2020-05-24,9.42
2020-05-25,9.49
2020-05-26,9.76
2020-05-27,7.57
2020-05-28,7.88
2020-05-29,8.56
2020-05-30,9.43
2020-05-31,8.96
2020-06-01,9.34
2020-06-02,8.72
2020-06-03,8.91
2020-06-04,11.78
2020-06-05,13.28
2020-06-06,11.85
2020-06-07,8.31
2020-06-08,9.38
2020-06-09,9.44
2020-06-10,10.09
2020-06-11,8
2020-06-12,8.11
2020-06-13,8.18
2020-06-14,10.21
2020-06-15,14.09
2020-06-16,10.72
2020-06-17,11.58
2020-06-18,16.06
2020-06-19,9.67
2020-06-20,11.12
2020-06-21,7.62
2020-06-22,9.99
2020-06-23,8.9
2020-06-24,7.32
2020-06-25,8.44
2020-06-26,9.15
2020-06-27,9.54
2020-06-28,10.6
2020-06-29,9.45
2020-06-30,8.54
2020-07-01,13.84
2020-07-02,14.26
2020-07-03,10.96
2020-07-04,7.62
2020-07-05,8.23
2020-07-06,9.14
2020-07-07,12.2
2020-07-08,9.18
2020-07-09,8.96
2020-07-10,9.3
2020-07-11,8.6
2020-07-12,7.5
2020-07-13,8.24
2020-07-14,9.03
2020-07-15,12.47
2020-07-16,9.44
2020-07-17,8.26
2020-07-18,8.45
2020-07-19,8.27
2020-07-20,8.86
2020-07-21,8.42
2020-07-22,8.58
2020-07-23,9.38
2020-07-24,8.79
2020-07-25,8.05
2020-07-26,12.63
2020-07-27,11.34
2020-07-28,9.22
2020-07-29,9.32
2020-07-30,9.7
2020-07-31,9.87
2020-08-01,10.64
2020-08-02,12.56
2020-08-03,10.18
2020-08-04,9.92
2020-08-05,9.17
2020-08-06,7.68
2020-08-07,7.68
2020-08-08,8.54
2020-08-09,9.28
2020-08-10,10.34
2020-08-11,9.92
2020-08-12,7.58
2020-08-13,8.6
2020-08-14,10.2
2020-08-15,10.62
2020-08-16,8.46
2020-08-17,10.25
2020-08-18,8.46
2020-08-19,6.97
2020-08-20,5.53
2020-08-21,6.87
2020-08-22,6.74
2020-08-23,7.36
2020-08-24,8.18
2020-08-25,7.26
2020-08-26,6.72
2020-08-27,7.08
2020-08-28,6.61
2020-08-29,7.03
2020-08-30,6.21
2020-08-31,6.27
2020-09-01,7.04
2020-09-02,7.13
2020-09-03,8.25
2020-09-04,9.69
2020-09-05,9.28
2020-09-06,7.31
2020-09-07,7.02
2020-09-08,6.38
2020-09-09,6.75
2020-09-10,6.57
2020-09-11,6.93
