PID,Lon,Lat,Area_km2,Level
PID530020,12.4709284033,50.3539402518,58.62,2
PID550090,14.3011028229,50.9261973393,97.34,1
PID550110,14.1871626029,50.9264223141,154.33,1
PID550190,14.1340817319,50.9418915781,268.43,3
PID550302,14.2696982247,50.9710257549,101.9,1
PID550390,14.2113492739,51.0283482408,40.21,2
PID550490,14.046633672,50.8818939725,37.61,1
PID550560,14.1081378949,50.8866948591,29.45,1
PID550620,13.9773447352,50.9163839161,132.2,1
PID550630,13.9214571298,50.818917932,29.66,1
PID550650,13.9304330008,50.8249988007,2.46,2
PID550710,13.9795137119,50.8329888848,48.25,1
PID550762,13.8543685413,50.8673253148,24.96,1
PID550800,14.1774164879,51.1243678772,68.92,1
PID550810,13.9938774482,51.0221104568,227.4,2
PID550910,13.825381685,50.7840780124,40.1,1
PID550940,13.8536214009,50.9538586111,198.66,1
PID550961,13.7873299813,50.7650000553,26.29,1
PID551000,13.7661104563,50.9430265166,43.71,1
PID551100,13.8004513669,51.1127546209,39.68,2
PID551206,13.7020215888,51.0305650369,657.3,1
PID551302,13.7013171964,50.7278095125,15.4,1
PID551310,13.6068616471,50.8053771599,49.23,1
PID551321,13.5676874109,50.8792146327,80.92,1
PID551350,13.6156705493,50.9795735191,162.12,1
PID551411,13.6756714179,50.8372540282,47.48,2
PID551420,13.6640494505,50.8945120897,72.43,1
PID551465,13.629111904,50.9804765348,153,1
PID551510,13.6639462795,50.7937743267,6.21,1
PID551521,13.6454689527,50.8873268079,12.71,1
PID551561,13.6536759356,50.9954540377,11.92,1
PID551590,13.6854634139,51.0485583821,7.42,1
PID551601,13.5350209911,51.0550227179,26.9,2
PID551801,13.4719616944,51.0178548805,46.64,1
PID551811,13.4118973186,51.0920410848,114.75,1
PID551820,13.431735927,51.1258595406,164.95,2
PID551950,13.5517170492,51.1819185734,12.02,2
PID552012,13.3725908238,51.1955625957,151,1
PID552101,13.1613714767,51.2012057836,63.46,2
PID552110,13.2544011456,51.266554568,152.72,3
PID552143,13.3197287501,51.2165562439,20.4,1
